JEREMIC LECTURE NOTES EXTRACTION REPORT
==================================================
Original PDF: C:\Users\rajes\Documents\pythonprojects\real-essi-retreval-agent\documents\jeremic_lecture_notes_original.pdf
Output file: C:\Users\rajes\Documents\pythonprojects\real-essi-retreval-agent\documents\jeremic_lecture_notes_verbatim.md
Total pages: 3012
Total extracted characters: 7984591

Pages with fewer than 200 extracted characters:
[78, 79, 154, 623, 1281, 1284, 1285, 1290, 1317, 1708, 1737, 1980, 2454, 2521, 2579, 2580, 2593, 2607, 2615, 2798, 2801, 2805]

Pages with no extracted text:
None

PER-PAGE RESULTS
--------------------------------------------------
Page 1: 2072 characters | OK
Page 2: 269 characters | OK
Page 3: 3763 characters | OK
Page 4: 5106 characters | OK
Page 5: 4918 characters | OK
Page 6: 4354 characters | OK
Page 7: 2831 characters | OK
Page 8: 4523 characters | OK
Page 9: 4544 characters | OK
Page 10: 3589 characters | OK
Page 11: 4171 characters | OK
Page 12: 1050 characters | OK
Page 13: 4630 characters | OK
Page 14: 2248 characters | OK
Page 15: 653 characters | OK
Page 16: 1086 characters | OK
Page 17: 2328 characters | OK
Page 18: 1095 characters | OK
Page 19: 671 characters | OK
Page 20: 1160 characters | OK
Page 21: 4696 characters | OK
Page 22: 6330 characters | OK
Page 23: 6601 characters | OK
Page 24: 6322 characters | OK
Page 25: 6508 characters | OK
Page 26: 6356 characters | OK
Page 27: 6343 characters | OK
Page 28: 5982 characters | OK
Page 29: 6324 characters | OK
Page 30: 6110 characters | OK
Page 31: 6375 characters | OK
Page 32: 6017 characters | OK
Page 33: 6397 characters | OK
Page 34: 6480 characters | OK
Page 35: 5694 characters | OK
Page 36: 5714 characters | OK
Page 37: 5526 characters | OK
Page 38: 5391 characters | OK
Page 39: 5630 characters | OK
Page 40: 5374 characters | OK
Page 41: 5901 characters | OK
Page 42: 6380 characters | OK
Page 43: 6694 characters | OK
Page 44: 6240 characters | OK
Page 45: 5878 characters | OK
Page 46: 6064 characters | OK
Page 47: 6107 characters | OK
Page 48: 5977 characters | OK
